,Centers,Locations,emails,phones,programs
503,Southdale Nursery School Inc.,"Rm 3 -831 Beaverhill Boulevard
Winnipeg, Manitoba
R2J 3K1",Southdalenurserydirector@outlook.com,,Nursery/Preschool
504,Southport Site,"75 Centennaire Drive
Southport, Manitoba
R0H 1N0",portagedaycare@live.ca,,"Infant, Nursery/Preschool"
505,Splash Child Enrichment Centre Inc (McGregor Location),"363 McGregor Street
Winnipeg, Manitoba
R2W 4X4",splash@splashcares.ca,,"Infant, Nursery/Preschool"
506,Spring Meadows School Age Centre Inc.,"95 Bournais Drive
Winnipeg, Manitoba
R2C 3Z2",springmeadows@shaw.ca,(204) 663-9237,"Nursery/Preschool, School Age"
507,Springfield Heights Nursery School Incorporated,"570 Sharron Bay
Winnipeg, Manitoba
R2G 0H9",shnsadina@gmail.com,,Nursery/Preschool
508,Springfield Learning Centres,"35117 PTH 15 Rd 60N
Anola, Manitoba
R0E 0A0",slcinc@mymts.net,,"Infant, Nursery/Preschool"
509,Springfield Learning Centres Incorporated-Anola,"733 Wieser Crescent
Anola, Manitoba
R0E 0A0",slcinc@mymts.net,,"Infant, Nursery/Preschool, School Age"
510,Springfield Tiny Tots Inc.,"#6-530 Main Street
Oakbank, Manitoba
R0E 1J0",,(204) 444-8687,Nursery/Preschool
511,Springs Christian Academy Preschool (SCAP),"595 Lagimodiere Boulevard
Winnipeg, Manitoba
R2J 3X2",sfriesen@springs.ca,,Nursery/Preschool
512,St. Adolphe Nursery School Inc.,"444 La Seine Street
St. Adolphe, Manitoba
R5A 1C2",sansdirector@gmail.com,(204) 883-2575,"Infant, Nursery/Preschool, School Age"
513,St. Andrews Child Care Inc.,"18 St Andrews Road
St Andrews, Manitoba
R1A 2Y1",st.andrews.childcare.inc@gmail.com,,"Infant, Nursery/Preschool"
514,St. Anne's Day Nursery Inc.,"425 St. Anne's Road
Winnipeg, Manitoba
R2M 1S8",leefoon@hotmail.com,,"Infant, Nursery/Preschool, School Age"
515,St. Avila School Age Child Care Progam,"633 Patricia Avenue
Winnipeg, Manitoba
R3T 3A8",sasaccp@gmail.com,,"Nursery/Preschool, School Age"
516,St. Boniface Children's Place d'enfants Inc.,"584 rue Des Meurons Street
Winnipeg, Manitoba
R2H 2P9",sbcp1@shaw.ca,(204) 231-2010,"Nursery/Preschool, School Age"
517,St. Boniface Children's Place d'enfants Inc.(Preschool),"365 Desautels Street
Winnipeg, Manitoba
R2H 0J6",sbcp1@shaw.ca,(204) 233-6366,"Infant, Nursery/Preschool"
518,St. Germain Day Care Centre Incorporated,"79 John Forsyth Road
Winnipeg, Manitoba
R2N 1R3",stgermaindaycarecentre@mymts.net,,"Nursery/Preschool, School Age"
519,St. James Assiniboia Montessori School Inc.,"3180 Mcbey Avenue
Winnipeg, Manitoba
R3K 0T7",stjamesmontessori@gmail.com,,Nursery/Preschool
520,St. James Early Learning Program,"928 Cavelier Avenue
Winnipeg, Manitoba
R2Y 1C8",chickadeecan@hotmail.com,(204) 781-2510,Nursery/Preschool
521,St. James Y Family Child Care,"3550 Portage Avenue
Winnipeg, Manitoba
R3K 0Z8",constance.cava@ymanitoba.ca,(204) 889-8642,"Infant, Nursery/Preschool, School Age"
522,St. Margaret's Montessori School Inc.,"160 Ethelbert Street
Winnipeg, Manitoba
R3G 1V7",info@stmargaretsmontessori.ca,,Nursery/Preschool
523,St. Matthews Kids Korner,"525 Agnes Street
Winnipeg, Manitoba
R3G 1N7",leslie@stmkidskorner.com,,"Nursery/Preschool, School Age"
524,St. Matthews Kids Korner Inc.,"669 St. Matthews Avenue
Winnipeg, Manitoba
R3G 0G9",sitesupervisor669@stmkidskorner.com,,"Infant, Nursery/Preschool"
525,St. Maurice Day Care Inc.,"1619 Pembina Highway
Winnipeg, Manitoba
R3T 3Y6",daycare@stmaurice.mb.ca,(204) 475-4045,"Infant, Nursery/Preschool, School Age"
526,St. Norbert Children's Centre Inc.,"3448 Pembina Highway
Winnipeg, Manitoba
R3V 1A1",,(204) 261-4114,"Infant, Nursery/Preschool, School Age"
527,St. Vital Child Care Co-op Inc.,"15 St. Michael Road
Winnipeg, Manitoba
R2M 2K4",stvdc@mymts.net,,"Nursery/Preschool, School Age"
528,Stanley Knowles Children's Centre Inc.,"27,29-2424 King Edward Street
Winnipeg, Manitoba
R2R 2R2",lhrechkosy@skcc.ca,(204) 694-0855,"Nursery/Preschool, School Age"
529,Stanley Knowles Pre-School Centre Inc.,"112-2424 King Edward Street
Winnipeg, Manitoba
R2R 2R2",stanpre@mymts.net,(204) 694-5121,"Infant, Nursery/Preschool"
530,Starlight Christian Nursery School Inc.,"400 Day Street
Winnipeg, Manitoba
R2C 1B2",scnsdirector@gmail.com,,Nursery/Preschool
531,Stars of Promise Inc.,"114-1100 Concordia Avenue
Winnipeg, Manitoba
R2K 4B8",starsofpromise@yahoo.com,,Nursery/Preschool
532,Starting Blocks Inc.,"510 3rd Street W
Stonewall, Manitoba
R0C 2Z0",startingblocks@mymts.net,(204) 467-5522,"Nursery/Preschool, School Age"
533,Stonewall Children's Centre Inc.,"528 3rd Street W
Stonewall, Manitoba
R0C 2Z0",child12@mts.net,,"Infant, Nursery/Preschool"
534,Stony Mountain Child Care Centre Co-op East,"149 School Road
Stony Mountain, Manitoba
R0C 3A0",smccc@hotmail.ca,,"Infant, Nursery/Preschool"
535,Stony Mountain Child Care Centre Co-op Inc.,"81 School Road
Stony Mountain, Manitoba
R0C 3A0",smccc@hotmail.ca,,Nursery/Preschool
536,Stony Mountain Child Care Centre Co-op Inc. (Before and After School Program),"81 School Road
Stony Mountain, Manitoba
R0C 3A0",smccc@hotmail.ca,,"Nursery/Preschool, School Age"
537,Story Book Day Care Centre Inc.,"131 Sanford Fleming Road
Winnipeg, Manitoba
R2C 5B8",sbdc@storybookdaycare.ca,,"Infant, Nursery/Preschool"
538,Story Book School Age Program,"115 Sanford Fleming Road
Winnipeg, Manitoba
R2C 2Z9",sbdc@storybookdaycare.ca,,"Nursery/Preschool, School Age"
539,Strathmillan Children's Centre Inc.,"339 Strathmillan Road
Winnipeg, Manitoba
R3J 2V6",strathmillan0f@gmail.com,(204) 837-4097,"Nursery/Preschool, School Age"
540,Sugar N' Spice Kiddie Haven - Ecole Riviere Rouge,"55 Swinford Way
Winnipeg, Manitoba
R2V 4X2",sandrar@sugarnspicedaycare.ca,,"Infant, Nursery/Preschool, School Age"
541,Sugar N' Spice Kiddie Haven Inc.,"123 Red River Boulevard W
Winnipeg, Manitoba
R2V 3X9",tracy@sugarnspicedaycare.ca,,"Nursery/Preschool, School Age"
542,Sugar N' Spice Kiddie Haven Inc.W.K.,"101 Ridgecrest Avenue
Winnipeg, Manitoba
R2V 4T6",jennys@sugarnspicedaycare.ca,,"Infant, Nursery/Preschool"
543,SunFlower Early Learning Center Inc.,"275 Main Street
Minitonas, Manitoba
R0L 1G0",sunflowerelc@gmail.com,,"Infant, Nursery/Preschool, School Age"
544,Sunny Mountain Day Care Centre (1985) Inc.,"Unit 4-1965 Main Street
Winnipeg, Manitoba
R2V 1E6",smdcdirectors@gmail.com,,"Infant, Nursery/Preschool, School Age"
545,Sunnyside Child Care Centre Inc.,"530 Dieppe Road
Winnipeg, Manitoba
R3R 1C4",sunnysidechildcare@mts.net,,"Nursery/Preschool, School Age"
546,Sunrise Sunset ChildCare Inc,"795 Prince Rupert Avenue
Winnipeg, Manitoba
R2K 1W6",sunrisesunsetchildcare@shaw.ca,(204) 415-2866,"Nursery/Preschool, School Age"
547,Swan River Day Care Centre Inc.,"439 Westwood Road
Swan River, Manitoba
R0L 1Z0",srdc@mymts.net,,"Infant, Nursery/Preschool, School Age"
548,Swan River Kinsmen Nursery School,"1421 3rd Street S
Swan River, Manitoba
R0L 1Z0",swanrivernursery@outlook.com,(204) 734-9566,Nursery/Preschool
549,T.L.C.,"110 Saskatchewan Avenue W
Portage La Prairie, Manitoba
R1N 0M1",portagedaycare@live.ca,(204) 857-6304,"Infant, Nursery/Preschool"
550,T2 Thompson Toddlers' Day Care Inc.,"3 Broadway Street
Thompson, Manitoba
R8N 1Z5",t2ttdc@mymts.net,,"Infant, Nursery/Preschool"
551,Tache Community Day Care Inc.,"480 Senez Rue
Lorette, Manitoba
R5K 1A8",tachedaycare@gmail.com,,"Infant, Nursery/Preschool"
552,Taking Care!,"276 Colony Street
Winnipeg, Manitoba
R3C 1W3",jmiddaugh@takingcharge.org,(204) 925-1692,"Infant, Nursery/Preschool"
553,Teekinakan Day Care,"509 Station Road
Thompson, Manitoba
R8N 1N2",teekdc@mts.net,(204) 778-8866,"Infant, Nursery/Preschool"
554,Teulon Day Care Inc,"50 B 8 Avenue SE
Teulon, Manitoba
R0C 3B0",teulondc@mymts.net,,"Infant, Nursery/Preschool"
555,The Carpenter's Montessori School Inc.,"300-400 Fort Whyte Way
Oak Bluff, Manitoba
R4G 0B1",carpmonte@gmail.com,,"Infant, Nursery/Preschool"
556,The Frere Jacques Nursery School Inc.,"475 Senez Street
Lorette, Manitoba
R0A 0Y0",frerejacquesnurseryschool@gmail.com,,Nursery/Preschool
557,The Happy Tots Place Inc.,"5A Walnut Street
Pine Falls, Manitoba
R0E 1M0",happytot@mymts.net,(204) 367-2601,"Infant, Nursery/Preschool"
558,The Little Years School Inc.,"20 Donnelly Street
Winnipeg, Manitoba
R3T 0S4",littleyearsschool@yahoo.ca,(204) 489-0303,Nursery/Preschool
559,"The Pas Preschool Activity Centre, Inc.","120 Stewart Street
The Pas, Manitoba
R9A 0W3",thepaspreschool@gmail.com,(204) 623-7700,Nursery/Preschool
560,The Prep Montessori Daycare,"Unit D-3525 Roblin Boulevard
Winnipeg, Manitoba
R3R 0C6",info@theprepmontessori.ca,(204) 832-9037,"Infant, Nursery/Preschool"
561,The Prep Montessori Infant Daycare,"3521 Roblin Boulevard
Winnipeg, Manitoba
R3R 0C6",info@theprepmontessori.ca,,Infant
562,Thompson Children's World,"5-436 Thompson Drive
Thompson, Manitoba
R8N 0C6",TCWDAYCARE1086@outlook.com,(204) 677-3583,"Infant, Nursery/Preschool"
563,Thrive Child Care,"100-475 Sargent Street
Winnipeg, Manitoba
R3B 1V7",karenbryce@thrivewpg.com,,"Infant, Nursery/Preschool"
564,Tiger Hills Community Resource Centre,"226 Andrews Avenue
Treherne, Manitoba
R0G 2V0",thcrc05@gmail.com,(204) 723-2702,"Infant, Nursery/Preschool"
565,Time 2 Play Early Learning Centre,"881 Autumnwood Drive
Winnipeg, Manitoba
R2J 1C2",time2play-elc@outlook.com,,Nursery/Preschool
566,Tinker Bell Nursery School Incorporated,"1516 Bond Street
Dauphin, Manitoba
R7N 0K4",tinkerbellnurseryschool@hotmail.com,(204) 638-5668,Nursery/Preschool
567,Tiny Turtle Playroom Inc.,"775 Rae Street
Boissevain, Manitoba
R0K 0E0",ttplayroomelcc@gmail.com,,"Infant, Nursery/Preschool, School Age"
568,TLC Centre Inc.,"245 1st Street NW
Carman, Manitoba
R0G 0J0",tlccarmaninc@gmail.com,(204) 745-1948,"Infant, Nursery/Preschool"
569,Tots of Love Early Learning Center Inc.,"305 Broadway Avenue
Killarney, Manitoba
R0K 1G0",susan.totsoflove@gmail.com,(204) 554-8687,"Infant, Nursery/Preschool"
570,Transcona Jaycees Day Care Centre,"1800 Winona Street
Winnipeg, Manitoba
R2C 2R2",tjdcc@mymts.net,,"Nursery/Preschool, School Age"
571,U.W.S.A. Day Care Centre,"548 Furby Place
Winnipeg, Manitoba
R3B 2T4",i.berdnikova@theuwsa.ca,(204) 786-9898,"Infant, Nursery/Preschool"
572,Universal Day Care Centre Inc.,"20 Donnelly Street
Winnipeg, Manitoba
R3T 0S4",executivedirector@myudc.net,,"Infant, Nursery/Preschool"
573,Univillage Preschool and Infant Centre Inc.,"100-99 Dalhousie Drive
Winnipeg, Manitoba
R3T 2M2",univill@shaw.ca,(2049) 953-2240,"Infant, Nursery/Preschool"
574,Uptown Day Care Inc.,"60 3rd Street W
The Pas, Manitoba
R9A 1R6",uptowndc@mymts.net,(204) 623-7912,Nursery/Preschool
575,Valley Gardens N.A.S.P.,"218 Antrim Road
Winnipeg, Manitoba
R2K 3L2",goodkids@mymts.net,(204) 669-6932,"Nursery/Preschool, School Age"
576,Valley Gardens Play School Inc.,"18 C-166 Antrim Road
Winnipeg, Manitoba
R2K 3L2",play_school@shaw.ca,,Nursery/Preschool
577,Van Belleghem French Immersion Pre-School Co-op Inc.,"14-10 Vermillion Road
Wpg, Manitoba
R2J 2T1",Vanbfipreschool@gmail.com,(431) 278-3898,Nursery/Preschool
578,Varsity View Nursery School,"315 Laxdal Road
Winnipeg, Manitoba
R3R 0W3",vvnursery@mymts.net,,Nursery/Preschool
579,Victor Mager Lunch & After School Program Inc.,"81 Beliveau Road
Winnipeg, Manitoba
R2M 1S6",,(204) 256-3800,"Nursery/Preschool, School Age"
580,Victor Play Centre,"766 Victor Street
Winnipeg, Manitoba
R3E 1Y6",vpcinc@mymts.net,(204) 775-0946,"Nursery/Preschool, School Age"
581,Victoria Albert Day Care Inc.,"110 Ellen Street
Winnipeg, Manitoba
R3A 1A1",director@vadc.ca,(204) 943-8576,Nursery/Preschool
582,Victoria Albert Day Care Inc. (Bannatyne),"483 Bannatyne Avenue
Winnipeg, Manitoba
R3A 0G2",director@vadc.ca,(204) 943-8576,"Nursery/Preschool, School Age"
583,Victoria Day Care Centre,"2227 Brandon Avenue
Brandon, Manitoba
R7B 0S9",vdcc@mts.net,(204) 728-9845,Nursery/Preschool
584,Victory Before & After School Program,"395 Jefferson Avenue
Winnipeg, Manitoba
R2V 0Z6",kidigrdn@mts.net,(204) 338-3193,"Nursery/Preschool, School Age"
585,Village Child Care (Meadowood Drive),"515-525 Meadowood Drive
Winnipeg, Manitoba
R2M 5C1",vcci@mymts.net,,"Infant, Nursery/Preschool"
586,Village Child Care Inc.,"1-730 River Road
Winnipeg, Manitoba
R2M 5A4",vcci@mymts.net,,"Nursery/Preschool, School Age"
587,Village Child Care Incorporated - Minnetonka School,"18-200 Minnetonka Road
Winnipeg, Manitoba
R2M 3Y6",vcci@mymts.net,,Nursery/Preschool
588,Villages United Early Learning Centre Inc. Hamiota,"39 4TH Street
Hamiota, Manitoba
R0M 0T0",villagesunited2004@outlook.com,,"Infant, Nursery/Preschool"
589,Villages United Early Learning Centre Inc. Hamiota Nursery School and School Age,"35 4TH Street
Hamiota, Manitoba
R0M 0T0",villagesunited2004@outlook.com,,"Nursery/Preschool, School Age"
590,Villages United Early Learning Centre Inc. Kenton,"512 Woodworth Avenue
Kenton, Manitoba
R0M 0Z0",villagesunited2004@outlook.com,,"Infant, Nursery/Preschool"
591,Villages United Early Learning Centre Inc. Oak River,"19 Government Road
Oak River, Manitoba
R0K 1T0",villagesunited2004@outlook.com,,"Infant, Nursery/Preschool"
592,Villages United Early Learning Centre Inc. Strathclair,"16 Main Street
Strathclair, Manitoba
R0J 2C0",villagesunited2004@outlook.com,,"Infant, Nursery/Preschool"
593,Vita Community Child Care Centre Inc.,"207 Poplar Avenue
Vita, Manitoba
R0A 2K0",vitachildcare@gmail.com,,"Infant, Nursery/Preschool, School Age"
594,Voyageur In School Program Inc.,"37 Voyageur Avenue
Winnipeg, Manitoba
R2Y 0H7",vipkids@mymts.net,(204) 832-4707,"Nursery/Preschool, School Age"
595,Wade Philip Galloway Learning Centre,"401 4th Avenue
Bowsman, Manitoba
R0L 0H0",Bowsmanelc@outlook.com,,"Infant, Nursery/Preschool, School Age"
596,Waskada Wee Ones Early Learning Center,"30 Souris Avenue
Waskada, Manitoba
R0M 2E0",waskadaweeones@gmail.com,(204) 483-6243,"Infant, Nursery/Preschool"
597,Waskada Wee Ones Playschool Inc.,"30 Souris Avenue
Waskada, Manitoba
R0M 2E0",waskadaweeones@gmail.com,(866) 422-5117,Nursery/Preschool
598,Waterhen &amp;amp; District Day Care & Developmental Centre,"146-138 Main Street
Waterhen, Manitoba
R0C 2C0",,(204) 628-3502,"Infant, Nursery/Preschool"
599,Waverley Heights Child Care Inc.,"1885 Chancellor Drive
Winnipeg, Manitoba
R3T 4C4",whcc@mymts.net,,"Nursery/Preschool, School Age"
600,Wawanesa Wee Care Inc.,"530 Commercial Street
Wawanesa, Manitoba
R0K 2G0",,(204) 824-2933,"Nursery/Preschool, School Age"
601,Wawanesa Wee Care Inc. (Standalone),"518 Commercial Street
Wawanesa, Manitoba
R0K 2G0",,(204) 824-2075,"Infant, Nursery/Preschool"
602,Wee Bairns Infant Care Centre,"260 Redonda Street
Winnipeg, Manitoba
R2C 1L6",weebairns@retsd.mb.ca,(204) 958-6489,Infant
603,Wee Care Child Centre Carman Inc.,"295 1st Street SW
Carman, Manitoba
R0G 0J0",wccc@mymts.net,,"Infant, Nursery/Preschool"
604,Wee R Special Inc. (Day Care),"126 Broadway Avenue
Deloraine, Manitoba
R0M 0M0",,(204) 747-2111,"Infant, Nursery/Preschool"
605,Wee R Special Inc. (Nursery School),"112 Lake Street S
Deloraine, Manitoba
R0M 0M0",weersns@live.com,,Nursery/Preschool
606,Wee Wisdom Nursery School,"142 28th Street
Brandon, Manitoba
R7B 2G3",weewisdom@hotmail.ca,,Nursery/Preschool
607,Wee World Day Care Inc.,"600 3rd Street NE
Portage La Prairie, Manitoba
R1N 1R4",weewdc@shaw.ca,,"Infant, Nursery/Preschool, School Age"
608,Wee World Site #2,"480 6th Avenue (Ave) NE
Portage La Prairie, Manitoba
R1N 0B4",,(204) 239-0323,"Infant, Nursery/Preschool"
609,West Kildonan Tiny Tots Inc.,"346 Perth Avenue
Winnipeg, Manitoba
R2V 3B3",westktinytots@gmail.com,,Nursery/Preschool
610,West St. Paul Nursery School Co-op Inc.,"48 Holland Road
West St. Paul, Manitoba
R2V 4R8",wspnurseryschool@yahoo.ca,,Nursery/Preschool
611,West-End Day Care Centre Inc.,"1825 Saskatchewan Avenue W
Portage La Prairie, Manitoba
R1N 0R6",wedc8010@mts.net,,"Infant, Nursery/Preschool, School Age"
612,Westgrove Children's Centre Inc.,"50 Westgrove Way
Winnipeg, Manitoba
R3R 1R7",wcci@shawbiz.ca,(204) 895-0296,"Nursery/Preschool, School Age"
613,Westminster Children's Care Centre,"745 Westminster Avenue
Winnipeg, Manitoba
R3G 1A5",,(204) 772-8476,"Nursery/Preschool, School Age"
614,Weston Child Care Centre Inc.,"105 Holmes Road
West St Paul, Manitoba
R4A 6A2",director@westonchildcare.ca,(204) 430-2313,"Nursery/Preschool, School Age"
615,Westpark Children's Centre,"B-2375 Saskatchewan Avenue W
Portage la Prairie, Manitoba
R1N 3B2",,(204) 857-3726,Nursery/Preschool
616,Westwin Children's Centre,"642 Wihuri Road
Winnipeg, Manitoba
R3N 1W8",corinne.reyes@winnipegmfrc.ca,(2048332) 500-2491,Nursery/Preschool
617,Westwood Community Child Care Inc.,"181 Sansome Avenue
Winnipeg, Manitoba
R3K 0N8",wccci@mymts.net,,"Nursery/Preschool, School Age"
618,Whyte Ridge Before and After School Program,"400 Scurfield Boulevard
Winnipeg, Manitoba
R3Y 1L3",ashleigh.maryk@ymanitoba.ca,,"Nursery/Preschool, School Age"
619,Wild Honey Children's Centre,"811 St. Paul Avenue
Winnipeg, Manitoba
R3G 0K9",,(204) 786-1418,"Nursery/Preschool, School Age"
620,Wild Strawberry Children's Centre,"659 Alverstone Street
Winnipeg, Manitoba
R3E 2G8",wildfun@mts.net,,Nursery/Preschool
621,Wild Strawberry Children's Centre - School Age,"C-801 Sargent Avenue
Winnipeg, Manitoba
R3B 0E9",wildfun@mts.net,(204) 775-8754,"Nursery/Preschool, School Age"
622,Wild Strawberry Children's Centre - Toddler and Preschool Program,"D-801 Sargent Avenue
Winnipeg, Manitoba
R3E 2G8",wildfun@mts.net,(204) 779-6272,"Infant, Nursery/Preschool"
623,Winakwa Nursery School Inc.,"866 Autumnwood Drive
Winnipeg, Manitoba
R2J 1C1",,(204) 223-5507,Nursery/Preschool
624,Windsor Cares For Kids Incorporated,"99 Springside Drive
Winnipeg, Manitoba
R2M 5A7",wcfk@mts.net,,"Nursery/Preschool, School Age"
625,Windsor Community Centre Tiny Tots,"99 Springside Drive
Winnipeg, Manitoba
R2M 5A7",office@windsorcc.ca,,Nursery/Preschool
626,Windsor Park Children's Care Center Inc.,"906 Cottonwood Road
Winnipeg, Manitoba
R2J 1G2",wpccc@mts.net,,"Nursery/Preschool, School Age"
627,Windsor Park Children's Care Centre -Stepping Stones,"2-282 St.Anne's Road
Winnipeg, Manitoba
R2M 3A7",wpccc@mts.net,(204) 257-6066,Infant
628,Winkler Day Care Centre Inc.,"851 Pembina Avenue
Winkler, Manitoba
R6W 2N5",wdcc@mymts.net,(204) 325-9103,"Infant, Nursery/Preschool"
629,Winkler Kid's Korner Nursery School Inc.,"600 Southview Drive
Winkler, Manitoba
R6W 2P7",wkkns@hotmail.com,,Nursery/Preschool
630,Winnipeg Beach Tiny Tots Inc.,"185 Churchill Road
Winnipeg Beach, Manitoba
R0C 3G0",wpgbeachtt@msn.com,,"Infant, Nursery/Preschool, School Age"
631,Winnipeg Mennonite Early Learning Christian Centre,"250 Bedson Street
Winnipeg, Manitoba
R3K 1R7",wmelc@crestviewpark.ca,(204) 896-1887,Nursery/Preschool
632,Winnipeg MFRC Occasional Child Care Centre,"630 Wihuri Road
Winnipeg, Manitoba
R3J 3Y5",cortney.sim@forces.gc.ca,(204) 833-2500,"Infant, Nursery/Preschool, School Age"
633,Wolseley Family Place Playroom,"205-222 Furby Street
Winnipeg, Manitoba
R3C 2A7",playroom@wfpwpg.ca,(204) 560-3151,"Infant, Nursery/Preschool"
634,Woodlands Child Care Inc,"91 Porteous Street
Woodlands, Manitoba
R0C 3H0",woodlandschildcare@gmail.com,,"Infant, Nursery/Preschool, School Age"
635,Y Downtown Early Learning Centre,"231 8th Street
Brandon, Manitoba
R7A 3X2",audra.newman@ymanitoba.ca,,Nursery/Preschool
636,Y Maryland Early Learning Centre,"700 Maryland Avenue
Brandon, Manitoba
R7A 7X9",angie.dunbar@ymanitoba.ca,(204) 726-4157,"Infant, Nursery/Preschool, School Age"
637,Y New Era Early Learning Center,"M6-527 Louise Avenue
Brandon, Manitoba
R7A 0X1",katherine.hume@ymanitoba.ca,(204) 571-6559,"Nursery/Preschool, School Age"
638,Y South Early Learning Centre,"1525 First Street S
Brandon, Manitoba
R7A 6Z9",debra.berry@ymanitoba.ca,(204) 571-6556,"Infant, Nursery/Preschool, School Age"
639,Y Valleyview Early Learning Centre,"77 Whillier Drive
Brandon, Manitoba
R7B3W8",tammy.munro@ymanitoba.ca,(204) 571-6554,"Nursery/Preschool, School Age"
640,Y West Early Learning Centre,"B-565 34th Street
Brandon, Manitoba
R7B 3P8",patricia.gergert@ymanitoba.ca,,"Infant, Nursery/Preschool"
641,YMCA-YWCA of Winnipeg - Ecole Guyot,"400 Willowlake Crescent
Winnipeg, Manitoba
R2J 3K2",heather.seniuk@ymanitoba.ca,,"Nursery/Preschool, School Age"
642,YMCA-YWCA of Winnipeg - Ecole Robert Browning,"130 Browning Boulevard
Winnipeg, Manitoba
R3K 0L8",constance.cava@ymanitoba.ca,(204) 889-8642,"Nursery/Preschool, School Age"
643,YMCA-YWCA of Winnipeg - Lord Nelson School,"820 McPhillips Street
Winnipeg, Manitoba
R2X 2J7",richard.lilke@ymanitoba.ca,(204) 228-5963,"Nursery/Preschool, School Age"
644,YMCA-YWCA of Winnipeg - Shamrock School,"831 Beaverhill Boulevard
Winnipeg, Manitoba
R2J 3J2",heather.seniuk@ymanitoba.ca,,"Nursery/Preschool, School Age"
645,YMCA-YWCA of Winnipeg South Child Care Centre,"5 Fermor Avenue
Winnipeg, Manitoba
R2M 0Y1",alanna.newman@ymanitoba.ca,,Nursery/Preschool
646,Yours and Ours Day Care Inc.,"100-500 Balmoral Street
Winnipeg, Manitoba
R3G 2P6",,(204) 783-8914,"Nursery/Preschool, School Age"
