Centers,Locations,emails,phones,licenses,hours,programs
The Learning Experience Children's Centre Ltd.,"3862 Wellington St, Port Coquitlam, V3B 3Z4",mont942@shaw.ca,604-942-5008,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
The Patch Kids Place Inc.,"5370-248 Street, Aldergrove, V4W 1A7",lizalderson@shaw.ca,604-626-4547,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Thrive Childcare Inc.,"9800 McNaught Rd, Chilliwack, V2P 6G2",thrivechildcareinc@gmail.com,604-819-0708,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Tiny Hoppers Early Learning Queensborough,"F120 - 805 Boyd St, New Westminster, V3M 5G7",queensborough@jaytori.com,604-873-3921,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Tiny Scholars Inc.,"100 - 2121 Clearbrook Rd, Abbotsford, V2T 4H6",pam.kaushik@tinyscholars.ca,778-898-5100,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Tla'amin Child Development & Resource Centre,"4915 Salish Drive, Powell River, V8A 0B6",rose.adams@tn-bc.ca,604-483-3006,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Grade 1 to Age 12"
Totem Nursery Preschool,"9908 84 St, Fort St. John, V1J 3G1",admin@totempreschool.com,250-785-7227,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Tree Of Life Childcare,"4381 46A St, Delta, V4K 2M2",treeoflife_childcare@hotmail.com,604-446-6171,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Trillium Montessori,"495 Howard Ave, Nanaimo, V9R 3S2",trilliummontessori@telus.net,250-716-7844,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten"
Trout Lake Community Centre Preschool,"3360 Victoria Dr, Vancouver, V5N 4M4",troutlakecc@gmail.com,604-441-7301,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
U.N.B.C. Child Care,"3333 University Way, Prince George, V2N 4Z9",sydney.rustemeyer@unbc.ca,250-960-5720,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Unisus Early Childhood Learning Centre Inc.,"7808 Pierre Dr, Summerland, V0H 1Z2",accounting@unisus.ca,250-404-3232,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
University Hill Preschool,"5210 University Boulevard, Vancouver, V6T 2H5",universityhillpreschool@gmail.com,604-228-8610,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Valley Pine Learning Centre Inc,"100-2485 West Railway St, Abbotsford, V2S 2E5",valleypinelearning@gmail.com,604-864-6424,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Victoria Nature School Gordon Head,"4100 Lambrick Way, Victoria, V8N 5R3",natureschooloffice@gmail.com,250-857-4609,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Watch Me Grow Child Care Centre,"1276 Hornby St, Coquitlam, V3E 1C5",wmgccc@yahoo.ca,778-988-9582,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekends, Statutory Holidays, Weekdays Before 6am, Weekdays After 7pm","Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Watch Me Grow Child Care Centre,"3916 Oxford St, Port Coquitlam, V3B 4E8",wmgccc@yahoo.ca,778-988-9582,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekends, Statutory Holidays, Weekdays Before 6am, Weekdays After 7pm",Programs: Under 36 Months
West Point Grey Under Three Day Care,"1708 West 16Th Ave, Vancouver, V6J 2M1",westpointgreydaycare@yahoo.com,604-568-9002,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Westside Montessori Academy,"3075 Slocan St, Vancouver, V5M 3E4",info@westsidemontessoriacademy.ca,604-434-9611,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Wiggles And Giggles Childcare,"7607 Highway 101, Powell River, V8A 0R2",wngjeanette@gmail.com,604-223-8091,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Wiggles And Giggles Social Group,"3439 Mackenzie Avenue, Powell River, V8A 5K6",wngjeanette@gmail.com,604-223-8091,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Wild Roots Early Learning,"8263 Rogers Rd, Vernon, V1B 3M7",wildrootsearlylearning@gmail.com,604-309-6408,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Willowbrae Academy Guildford,"201-15679 104 Ave, Surrey, V4N 2H4",guildford@willowbraechildcare.com,604-619-9010,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Willowbrae Academy Langley,"100 - 8063 199Th St, Langley, V2Y 0E2",langley@willowbraechildcare.com,604-618-6553,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Willowbrae Academy Victoria,"301-722 Johnson St, Victoria, V8W 1N1",agao@willowbraechildcare.com,250-415-9974,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Willowbrook Montessori Child Care Centre,"20317 67Th Ave, Langley, V2Y 1P6",ww369586169@gmail.com,604-533-5469,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Windridge Park Childcare,"931 Lytton St, North Vancouver, V7H 2M5",windridgeparkpreschool@shaw.ca,604-983-6504,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Windy Willows Environmental Centre Inc,"19089 Advent Rd, Pitt Meadows, V3Y 2C5",windywillowschildcare@shaw.ca,604-457-0133,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Wings Of Life Fine Arts Child Care,"2630 Langdon St, Abbotsford, V2T 3L2",wingsoflifechildcare@live.ca,604-302-2666,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Write Choice Early Learning Centre,"2027 - 1163 Pinetree Way, Coquitlam, V3B 8A9",info@writechoicelearning.com,604-475-3181,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Xland Montessori Learning Center,"4492 Arbutus Street, Vancouver, V6J 4A2",xlandmontesorri@gmail.com,778-869-8583,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Xtreme Performing Arts/Xplor Fine Arts Preschool,"11-34100 South Fraser Way, Abbotsford, V2S 2C6",xlporfineartspreschool@gmail.com,778-808-8827,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
YMCA Preschool & Out Of School Care Program,"375 Hartman Rd, Kelowna, V1X 4K5",dmiranda@ymcaokanagan.ca,250-764-9621,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
You & Me Bumblebee,"100-3003 30 St, Vernon, V1T 9J5",megan.priest@vdicss.org,250-503-6673,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Young Parents Education Program Day Care,"2700 College Way, Mt Fisher Building, Cranbrook, V1C 5L7",dprofili@cbal.org,250-512-1249,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
